ViolationID,VehicleID,ViolationType,Severity,Timestamp,LocationID,Latitude,Longitude
V1,VH9033,Seat Belt Violation,Low,2024-01-19 02:17:00,L24,17.37194077973747,78.47284514333059
V2,VH4563,Signal Jump,Medium,2024-01-10 21:11:00,L11,17.409605439906237,78.46007601077572
V3,VH1140,Overspeeding,High,2024-02-24 18:22:00,L5,17.4219366791152,78.49755503871235
V4,VH2871,Seat Belt Violation,Medium,2024-02-27 13:43:00,L1,17.352878112752062,78.52316392699095
V5,VH4831,Wrong Parking,Low,2024-01-26 23:01:00,L21,17.41502206693081,78.4476126160463
V6,VH5632,Wrong Parking,Medium,2024-02-05 11:01:00,L30,17.350324801532818,78.48260956702937
V7,VH1920,No Helmet,Medium,2024-02-05 11:00:00,L24,17.367054099465143,78.47113031275624
V8,VH2678,Signal Jump,High,2024-02-16 18:54:00,L30,17.36007030445952,78.52572667509372
V9,VH9517,No Helmet,High,2024-01-15 17:36:00,L2,17.381663139641024,78.47252103356355
V10,VH6772,No Helmet,High,2024-02-12 07:11:00,L24,17.379702345136618,78.46952650437005
V11,VH7836,No Helmet,Medium,2024-02-07 10:18:00,L20,17.382188174633797,78.46465357898086
V12,VH8617,Wrong Parking,High,2024-03-09 13:39:00,L7,17.431180683233727,78.51414139081633
V13,VH6491,No Helmet,High,2024-03-04 06:43:00,L6,17.349078461074587,78.49880043928627
V14,VH9882,Overspeeding,Low,2024-01-18 02:59:00,L14,17.367637477485964,78.4478801413394
V15,VH2686,Signal Jump,Low,2024-02-19 21:38:00,L30,17.335351924873383,78.52055967490871
V16,VH2364,Signal Jump,Low,2024-01-15 10:56:00,L12,17.343202504276466,78.53409896252562
V17,VH4629,Seat Belt Violation,Medium,2024-03-06 19:42:00,L26,17.345423640276067,78.47514744921439
V18,VH5283,Signal Jump,Low,2024-02-16 06:22:00,L25,17.34200927120925,78.46389941540777
V19,VH9690,No Helmet,High,2024-02-17 21:54:00,L22,17.39785477375475,78.5245253952331
V20,VH7151,Wrong Parking,Medium,2024-02-11 12:58:00,L9,17.376837866560077,78.53367406962728
V21,VH8022,Signal Jump,Medium,2024-03-02 04:47:00,L3,17.365041486970785,78.4368670635667
V22,VH6988,Overspeeding,Low,2024-01-18 00:44:00,L1,17.425992385873055,78.44348978674634
V23,VH6387,Wrong Parking,Medium,2024-02-14 15:31:00,L26,17.432351038209422,78.45590076803751
V24,VH9781,Seat Belt Violation,Low,2024-01-20 11:39:00,L17,17.378199007782253,78.51964501517315
V25,VH8455,Seat Belt Violation,High,2024-01-16 14:06:00,L4,17.364341297685826,78.50491915815745
V26,VH7540,No Helmet,Medium,2024-02-28 03:25:00,L2,17.359065593084487,78.46452991339166
V27,VH3797,No Helmet,Medium,2024-03-01 01:14:00,L21,17.42096140751362,78.5061213592537
V28,VH6938,Seat Belt Violation,Medium,2024-01-30 09:26:00,L20,17.408037229545318,78.45622481377875
V29,VH3282,Signal Jump,Low,2024-03-06 07:54:00,L18,17.408544890629603,78.49090733159838
V30,VH4266,Signal Jump,Medium,2024-02-20 13:19:00,L4,17.379902606929164,78.51504449687343
V31,VH6638,Wrong Parking,Medium,2024-02-19 17:18:00,L15,17.427770968954786,78.53434843532858
V32,VH1509,Overspeeding,High,2024-02-11 21:32:00,L4,17.398549388833707,78.50363025484721
V33,VH1493,No Helmet,Medium,2024-02-11 07:18:00,L23,17.411505942566684,78.4705334262466
V34,VH9688,Overspeeding,Medium,2024-02-12 21:08:00,L14,17.416908968287323,78.48400729017926
V35,VH1581,Wrong Parking,Low,2024-03-01 04:12:00,L4,17.403399313221872,78.49861229270272
V36,VH6035,Wrong Parking,High,2024-02-24 17:06:00,L7,17.39608276624749,78.44724260330483
V37,VH7990,Signal Jump,Low,2024-02-17 00:11:00,L4,17.381546153629877,78.53463337306218
V38,VH5591,Signal Jump,Low,2024-02-02 03:29:00,L14,17.41845074060748,78.46345618495607
V39,VH7567,Seat Belt Violation,Medium,2024-02-17 17:27:00,L16,17.399841815053776,78.49884931894036
V40,VH3136,Seat Belt Violation,High,2024-01-31 09:14:00,L24,17.350857073907985,78.48918950809299
V41,VH8674,Seat Belt Violation,Medium,2024-01-07 04:20:00,L10,17.379906012218125,78.43855201880561
V42,VH5196,No Helmet,Low,2024-01-27 04:14:00,L25,17.371907512258904,78.5217859398923
V43,VH5053,Overspeeding,High,2024-03-03 08:17:00,L19,17.402227825394263,78.52990697954439
V44,VH2638,Wrong Parking,High,2024-01-12 01:40:00,L13,17.372840073737624,78.45494410751853
V45,VH2317,Overspeeding,Medium,2024-03-06 12:39:00,L11,17.399747419103907,78.44637710241183
V46,VH8276,Overspeeding,High,2024-02-04 10:39:00,L23,17.394049014644498,78.47700362986191
V47,VH9490,Seat Belt Violation,High,2024-01-24 00:16:00,L30,17.352375804099342,78.46618908001481
V48,VH7803,Wrong Parking,High,2024-02-11 01:29:00,L1,17.337195634383075,78.50484661850719
V49,VH1190,Wrong Parking,High,2024-02-26 13:10:00,L19,17.347249511773246,78.48148542686134
V50,VH8529,Overspeeding,High,2024-01-24 16:56:00,L21,17.385641365946753,78.45471248112472
V51,VH5013,No Helmet,High,2024-02-28 12:36:00,L15,17.4016223581034,78.47075191351509
V52,VH2536,Wrong Parking,Low,2024-02-10 11:59:00,L4,17.394974090288454,78.46057056353033
V53,VH4036,Signal Jump,Low,2024-01-25 04:32:00,L25,17.373139455658297,78.46429108347539
V54,VH3255,Wrong Parking,Low,2024-03-01 03:21:00,L24,17.39737758217005,78.53644323449042
V55,VH1634,Signal Jump,High,2024-02-01 15:07:00,L12,17.4057351704716,78.44273908889483
V56,VH4223,Overspeeding,Low,2024-01-06 21:45:00,L26,17.423032620457924,78.53098014234222
V57,VH4879,Overspeeding,High,2024-02-04 03:43:00,L11,17.381529094211327,78.448111608218
V58,VH8985,Wrong Parking,Medium,2024-02-01 16:42:00,L14,17.432387244633514,78.44259145424869
V59,VH9268,Signal Jump,Medium,2024-02-09 12:06:00,L4,17.338552797019204,78.48943255314819
V60,VH6123,No Helmet,High,2024-02-05 11:00:00,L27,17.408116918351514,78.46474730312863
V61,VH4919,Overspeeding,High,2024-03-09 23:46:00,L21,17.405733378577708,78.46275157929901
V62,VH9559,Overspeeding,High,2024-01-28 20:16:00,L12,17.37116687137212,78.5034710615936
V63,VH1478,Signal Jump,Low,2024-02-10 02:06:00,L3,17.42704725104065,78.51813399955675
V64,VH2322,Seat Belt Violation,High,2024-01-13 22:42:00,L17,17.398523484156936,78.51377697806964
V65,VH5250,Wrong Parking,High,2024-02-07 23:31:00,L12,17.35235451678984,78.44893100867597
V66,VH3679,No Helmet,Medium,2024-01-18 19:48:00,L11,17.397140357250848,78.44940728160759
V67,VH9259,No Helmet,High,2024-01-15 12:22:00,L11,17.426071377901728,78.50871281443861
V68,VH1327,Seat Belt Violation,Low,2024-02-06 15:09:00,L21,17.411885585983637,78.4914239747202
V69,VH6402,Wrong Parking,High,2024-02-09 16:37:00,L22,17.41254827864113,78.43747993425441
V70,VH1456,Signal Jump,High,2024-03-06 00:00:00,L28,17.351722627381978,78.44840189976922
V71,VH5722,Signal Jump,High,2024-01-23 02:14:00,L7,17.352691240255165,78.5253299053426
V72,VH1061,Signal Jump,Low,2024-02-16 04:37:00,L23,17.424146873645732,78.50737689576663
V73,VH3965,Overspeeding,High,2024-01-25 01:18:00,L9,17.356996017150763,78.45193895007831
V74,VH7591,No Helmet,Medium,2024-02-19 00:32:00,L21,17.35674708981252,78.51025514969587
V75,VH2152,Wrong Parking,High,2024-01-26 17:29:00,L13,17.35889332649646,78.4410265341406
V76,VH9756,Seat Belt Violation,Low,2024-02-04 12:08:00,L5,17.398862486342942,78.46971848887829
V77,VH8023,No Helmet,Low,2024-03-02 10:16:00,L7,17.425936732676988,78.52432911775198
